0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
40,0.18341644638717722,0.7796130311727423,0.5967904729306924,0.4457881695783059,280.6980685179862,0.4592029670766707,0.333675240277908,,,,,,,,,,,,,,,,,,,,,,'HXutility' object has no attribute '_inlet_cost'
8,0.6508233841015582,0.05640593786919756,0.7219265723895982,0.9384588537448488,273.0599649697581,0.9921123381352887,0.6174197614767539,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
31,0.007065598589195436,0.02306011879891162,0.5247221827923634,0.39982098561808405,276.5932560674484,0.9736581432895752,0.23274806329626127,,,,,,,,,,,,,,,,,,,,,,list index out of range
5,0.6183241707321541,0.3824237450680361,0.9831325627182077,0.46671621695865523,339.2154113186967,0.6802395078339211,0.45045420204434616,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
2,0.9421075355092845,0.5632318890237549,0.38537796088966225,0.015964655594992178,290.7788245729055,0.24100136347940918,0.6831951924735757,,,,,,,,,,,,,,,,,,,,,,list index out of range
31,0.833111592244991,0.17334731704242134,0.3910215015124836,0.18221786417928354,331.16282859445926,0.4251133589037957,0.20792086870190207,,,,,,,,,,,,,,,,,,,,,,'HXutility' object has no attribute '_inlet_cost'
29,0.03131016112631303,0.8422005461175393,0.4497091579564288,0.39511072097821437,344.35273266612217,0.7271992686568354,0.32650811472895486,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
29,0.5207821765998212,0.9610759071469144,0.8444493952932838,0.7472453781263673,314.55629419395916,0.5866924905472819,0.9651587817334119,,,,,,,,,,,,,,,,,,,,,,'HXutility' object has no attribute '_inlet_cost'
31,0.2759715821043412,0.29624387835351207,0.1652504123690962,0.015634843100519817,305.60191401439045,0.3948420300237523,0.2934588259005664,,,,,,,,,,,,,,,,,,,,,,list index out of range
2,0.19882251984839633,0.7112708185533753,0.7900965229771527,0.6058993787835334,344.32516764552787,0.6510119177993944,0.9148681795762266,,,,,,,,,,,,,,,,,,,,,,'HXutility' object has no attribute '_inlet_cost'
43,0.4494057290707897,0.0954005754787623,0.3707811703730466,0.668774368538341,324.2760214595472,0.5912386579289565,0.2746943208107652,,,,,,,,,,,,,,,,,,,,,,'HXutility' object has no attribute '_inlet_cost'
29,0.3828885820663146,0.9716149241795651,0.8488289328836575,0.7216573482127568,291.1708388206696,0.25604271592904787,0.04042954617947751,,,,,,,,,,,,,,,,,,,,,,list index out of range
36,0.11087973172975017,0.43929256821558366,0.2016990304151627,0.8956740193139523,309.60350718502264,0.5632192444191861,0.695446534817485,,,,,,,,,,,,,,,,,,,,,,'HXutility' object has no attribute '_inlet_cost'
8,0.6043569375398896,0.5397871071925431,0.20304091861229598,0.9427592852009254,319.11264091961726,0.6947154545464007,0.8803797922313564,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
32,0.29560412246913026,0.10548371040428761,0.4564889170258621,0.21841859317311196,305.0712659860182,0.8831919308929767,0.3243125865031735,,,,,,,,,,,,,,,,,,,,,,list index out of range
7,0.3562622082931673,0.9067377587015997,0.2721050361596969,0.6476253515293083,273.0400690286393,0.35253359944853563,0.3047507800322133,,,,,,,,,,,,,,,,,,,,,,'MESHDistillation' object has no attribute '_inlet_cost'
9,0.5340360104335046,0.4847814883618474,0.6923667892869815,0.26938539256514166,291.79766521307863,0.1682742130687133,0.218742343151113,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
28,0.40379578744093514,0.06488575788427067,0.25389002239295133,0.2468513752323174,326.6154290086637,0.7121993628654497,0.1480721212604046,,,,,,,,,,,,,,,,,,,,,,list index out of range
50,0.2667543361738575,0.9765172943370699,0.4109959096168996,0.033047427827258335,299.5704860980546,0.6342879095668937,0.6806373810096115,,,,,,,,,,,,,,,,,,,,,,list index out of range
