Params,Error
"[27.576336002147617, 0.07209767221314052, 0.7264548033156076, 0.10322330521914005, 0.5603500489722315, 324.4965612457749, 0.6354874884627583, 0.8678834952854088]",'MESHDistillation' object has no attribute '_inlet_cost'
"[47.228828202000244, 0.170867317759628, 0.5143596400062695, 0.8172031396494267, 0.2017301998972121, 285.2547646667021, 0.7190382185801525, 0.23790660849999998]",'HXutility' object has no attribute '_inlet_cost'
"[40.77685180050939, 0.06729052601388771, 0.7078186363907494, 0.37827433022894913, 0.21405260023295195, 282.1184249865774, 0.5556325987645663, 0.8466948468575607]",'MESHDistillation' object has no attribute '_inlet_cost'
"[26.566187983537745, 0.21668504806537064, 0.684375965053495, 0.5213985175359006, 0.1725076685514428, 299.04279333706575, 0.958433553421934, 0.8589117811185315]",'HXutility' object has no attribute '_inlet_cost'
"[18.85292168285139, 0.03327205484442613, 0.6199349887578663, 0.541152621966999, 0.0008018189861223965, 343.1590692565588, 0.5419392060051273, 0.9629844266537236]",list index out of range
"[35.68845809494461, 0.29075555038090506, 0.7636949761838457, 0.5896524845038859, 0.07047344460697504, 273.4513873715176, 0.27743283417921855, 0.41240453590327913]",list index out of range
"[24.296020260004845, 0.06334644819906472, 0.4120971614917561, 0.24898899033582653, 0.02704448190972643, 329.7961644340677, 0.023691721592432182, 0.552520338304724]",list index out of range
"[42.710244384679214, 0.7267373001964892, 0.3991569791959472, 0.04825984147845375, 0.45734651888134625, 336.58653484355654, 0.1034949524444904, 0.48357798426568066]",list index out of range
"[23.67837900836538, 0.0624963787640085, 0.8050336434154575, 0.5254059873719727, 0.6079114618334377, 317.33926239802526, 0.4669181542167703, 0.5389784208046509]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[14.194864210410557, 0.06084813517615822, 0.7168961746543043, 0.22377916170853857, 0.08263998704875769, 283.60023824658407, 0.1777265025970343, 0.42850476960952016]",list index out of range
"[12.895824854485497, 0.46887335018247184, 0.31262322121676883, 0.2336716940804054, 0.16613681702920988, 296.52344759729846, 0.7595765760810533, 0.6949818054421507]",list index out of range
"[14.062970854063877, 0.5559150703408338, 0.8591021554755222, 0.16130914474538807, 0.3747239333837281, 301.9311832861951, 0.28256304357789847, 0.43738507128503357]",list index out of range
"[13.001213354820646, 0.02247162774498623, 0.6897712952000993, 0.09428477155039933, 0.14550114418122273, 329.7573341513789, 0.7152078908586904, 0.36460770543432386]",list index out of range
"[18.383166812490035, 0.41684896656207365, 0.16498765304408142, 0.7677848933739296, 0.8663032733146309, 299.88500307392655, 0.39808073228325447, 0.3120823726842101]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[14.581519187087153, 0.9884918688471545, 0.20859683603119986, 0.06221113427140424, 0.2367721474090869, 343.3577768234115, 0.7002370567269877, 0.22382410381183174]",list index out of range
"[29.582832864642942, 0.5435008864591969, 0.6928651933640761, 0.32450747261989216, 0.2013499182060539, 333.91143990648413, 0.4948817038253169, 0.22422166887284017]",list index out of range
"[29.91026240349977, 0.5502188844928412, 0.43711704155858305, 0.648905479773094, 0.008022637004821332, 277.1039387529109, 0.4372821872906985, 0.8351327295678833]",list index out of range
"[7.350142556876192, 0.308851967859244, 0.19279596300572657, 0.884616764226311, 0.8564215882848094, 298.1918221190458, 0.4502761602296304, 0.1327775387512274]",'MixerSettler' object has no attribute '_inlet_cost'
"[3.1325669954977577, 0.3992983537791597, 0.15114510571245102, 0.7010736905098726, 0.9969976031977197, 320.1825770607117, 0.7379809403480777, 0.6380446570087267]",'MESHDistillation' object has no attribute '_inlet_cost'
"[48.450577122548616, 0.35869392526149424, 0.40229400534448684, 0.4660714444938618, 0.06742067851788454, 332.9915538684062, 0.9890234055286061, 0.5600166833475689]",list index out of range
"[46.61636857768557, 0.20266189682839653, 0.8265314152752703, 0.24618896001066387, 0.42403206771739393, 298.5226487932671, 0.8172817133722529, 0.11526749938282942]",'HXutility' object has no attribute '_inlet_cost'
"[10.154394936493171, 0.06406279469875258, 0.1092197412521759, 0.8048409986367023, 0.8901473913585691, 311.8420431989039, 0.4382362347210884, 0.3449105162464215]",list index out of range
"[15.25942629228373, 0.7555033576362258, 0.4657832626285868, 0.03723850963155097, 0.4924767251549186, 287.7235639995641, 0.9528562229130559, 0.8258282820922282]",list index out of range
"[12.312111159285811, 0.4438666272494935, 0.19084327369038998, 0.764012468567403, 0.7117929560192819, 301.9471173816868, 0.693973953494074, 0.12029569214698184]",'HXutility' object has no attribute '_inlet_cost'
"[19.35199196865918, 0.016623750198881227, 0.44324090698541546, 0.45290920333491014, 0.7431597744489582, 315.640923415215, 0.7887929423926483, 0.2343829019463765]",list index out of range
"[27.6150016423551, 0.4245931518350646, 0.20421682179491044, 0.019017830812622143, 0.03526728670120959, 326.2749896989816, 0.6452577596722268, 0.952236564763449]",list index out of range
"[17.846796561413644, 0.4361227592040254, 0.1787504318764877, 0.39102632585709607, 0.21306455326249288, 346.66531322783305, 0.962862592850714, 0.3547250827701311]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[40.1965969107048, 0.5749037239927907, 0.0849675283756259, 0.7377629306109155, 0.5143883157534601, 277.4858618725499, 0.3346957449850279, 0.29576607010108413]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[34.770654361466974, 0.08419153828982018, 0.05734703571115498, 0.8408935227266513, 0.6428218086071585, 339.82675384871493, 0.33527240331779296, 0.5218667497910965]",list index out of range
"[35.75839790070987, 0.6719419692841311, 0.02241154669786753, 0.15888274590496784, 0.8602324498629719, 297.29581496870793, 0.7783308855503034, 0.08665759145272775]",list index out of range
"[6.643967351403353, 0.8899847813915486, 0.8233772251364896, 0.6426494620849079, 0.0955188305902124, 302.6079396333472, 0.10150457647184172, 0.13049149022656753]",'HXutility' object has no attribute '_inlet_cost'
"[48.449709980923046, 0.566807214445851, 0.3073917382344537, 0.012070982797777885, 0.4140333015532652, 324.51971882810915, 0.18824316074984387, 0.1726542104825929]",list index out of range
"[18.203457317576348, 0.34327780121561563, 0.5757036887261022, 0.10180557481777704, 0.43979149377614296, 283.30233956884274, 0.680544662828026, 0.33371906008177393]",list index out of range
"[11.054153843556518, 0.8747357599859511, 0.004639425586108445, 0.016397075909696354, 0.14015541929775643, 340.7668450645288, 0.5215741079813804, 0.262595079772595]",list index out of range
"[44.82474379547948, 0.1736681962406103, 0.12577189266334074, 0.7333038344903783, 0.9920361280176099, 327.8671740355651, 0.6835727561646237, 0.19651976232807053]",list index out of range
"[35.795857627797844, 0.1135425879041886, 0.22548253128651602, 0.8748920579451905, 0.687058680133166, 275.58201295578266, 0.6496372384647955, 0.07017097306773516]",list index out of range
"[16.190376163481403, 0.3929148132901088, 0.8354824818113145, 0.2600387795011418, 0.09519069273350086, 301.3811262659826, 0.935144284005171, 0.48149148588906077]",list index out of range
"[48.571638429114266, 0.06966813511279266, 0.6612429573264389, 0.5737299498243552, 0.8243340536754931, 341.4611699190636, 0.24107956419729837, 0.09472433253740657]",'MESHDistillation' object has no attribute '_inlet_cost'
"[46.8296387215807, 0.8861931608581676, 0.4355172372496565, 0.3557189937718939, 0.1665570711878407, 321.48486026074556, 0.8063597522787208, 0.4226467630133931]",list index out of range
"[28.961004643438702, 0.19311665177772033, 0.17446782083998252, 0.7966073996812475, 0.8794492071125433, 311.8348885968083, 0.6445842188733415, 0.14119810165505292]",list index out of range
"[20.977108783475906, 0.26416467946889377, 0.15534511528062547, 0.6330146508990826, 0.7410993427220331, 324.05414977994377, 0.3353958605005415, 0.43983898971348473]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[48.70766606642879, 0.9320194214257963, 0.006124480166480487, 0.7460527443304488, 0.1815079747577462, 276.49456703341895, 0.4006643491829175, 0.02069583820529955]",list index out of range
"[26.74680891593178, 0.2869784992199981, 0.5862190459120512, 0.30499629826897845, 0.5124529492746479, 281.1653426867771, 0.14736914007249424, 0.013945980085838701]",list index out of range
"[47.50396993741263, 0.3838302021815745, 0.36572592201290194, 0.8034137736248735, 0.40391988000006807, 282.14043028728815, 0.029710511849896752, 0.05122765353583834]",list index out of range
"[9.81851188918929, 0.15065326836697635, 0.40874271454133804, 0.42187793140560276, 0.5371177334565662, 300.62379507107727, 0.7628631100100984, 0.8795680094288276]",'MESHDistillation' object has no attribute '_inlet_cost'
"[2.2018618972556134, 0.9255558087268181, 0.6997423586264188, 0.3368895317215663, 0.36280304189670415, 323.05767288572594, 0.4336818170457704, 0.09341424579949167]",'MESHDistillation' object has no attribute '_inlet_cost'
"[49.14319939074598, 0.938238100644677, 0.34179628651752736, 0.7888551485068273, 0.006264235466052123, 294.8303720156672, 0.1709458682432488, 0.8702647559510515]",list index out of range
"[34.41572284461595, 0.07065716329750524, 0.6272655182684452, 0.3061722429366746, 0.13668962048723987, 316.3630286028282, 0.5950854979972297, 0.1841571558603879]",list index out of range
"[30.515471014666417, 0.28714381141913164, 0.29561029897332103, 0.45900959067407254, 0.48842392325142225, 329.60719767935603, 0.8922716188867554, 0.6029545863429199]",'HXutility' object has no attribute '_inlet_cost'
"[1.7085963860472317, 0.3531840963215637, 0.7153205530981996, 0.2881044109856691, 0.12860236970826522, 293.22910078401935, 0.06636111254246709, 0.29703718258659956]",list index out of range
"[30.95796122684707, 0.7812408954977986, 0.26617608867390485, 0.07733667527364739, 0.7367570142922831, 305.51516881082387, 0.3258324246486611, 0.9795529057477388]",'MixerSettler' object has no attribute '_inlet_cost'
"[47.18975762858006, 0.5170219596226371, 0.1451814144021037, 0.6884340766814736, 0.8453014687340332, 278.63199917257117, 0.5653918370869074, 0.2265553922568387]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[19.648841520222106, 0.7358278079940165, 0.5074960403901384, 0.12619922318201315, 0.1740522401786779, 301.3137130893832, 0.320706646003362, 0.5779292361218838]",list index out of range
"[26.401572263338835, 0.3738335939490725, 0.8555245200559654, 0.10381224002138704, 0.2147536692628103, 319.97728593712094, 0.5534413791337733, 0.3297685013346729]",list index out of range
"[36.93402982907428, 0.024721759135080963, 0.28190230097576935, 0.04678078390453086, 0.05065490924160776, 343.7217772398235, 0.12052792083604942, 0.43064806150693064]",list index out of range
"[38.07856870575819, 0.5646213524014022, 0.7859524736331956, 0.3391839400933015, 0.35136535533879076, 286.42563877498, 0.3098371887143977, 0.5426912533805455]",'MESHDistillation' object has no attribute '_inlet_cost'
"[4.0686795935052045, 0.7417325854023815, 0.4033872874112812, 0.06082047992172121, 0.3523529185966408, 296.04398608872367, 0.2378980755804099, 0.26096223070397795]",list index out of range
"[37.44449732067158, 0.3415376389335066, 0.752438222451568, 0.3482817860405178, 0.21680984171950404, 339.4780943625898, 0.5596455920161943, 0.0697095443705577]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[47.41413003111127, 0.8751513097255742, 0.8030001179975135, 0.2284275126867764, 0.46034967304016994, 311.50030705236037, 0.3359956295019222, 0.15642036927765318]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[13.270820425604322, 0.9980339569191818, 0.631091172893686, 0.008160925038696653, 0.7426696705763656, 345.40403321812016, 0.7416260049631221, 0.4987689778533196]",list index out of range
