Params,Error
"[11.49476930521885, 0.4402204663409527, 0.07814465016252443, 0.11780046571076817, 0.48853323497740553, 344.2529719315168, 0.5106229748461917, 0.4243644130194235]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[6.386830068028621, 0.48305702201750395, 0.17935975240593138, 0.12548871559358563, 0.8388877328145822, 315.3152748356993, 0.48921426147913877, 0.5158310822524499]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[28.80567249704965, 0.105671818419994, 0.22131492776359135, 0.1782646920238963, 0.005166135945705278, 340.49771141301085, 0.6775748925537697, 0.6945005134366096]",list index out of range
"[35.44039210774975, 0.6536556686085386, 0.02562577101801934, 0.03359616918900987, 0.7836885101839932, 304.2611445254962, 0.864600158615864, 0.24459746514710495]",list index out of range
"[30.273782828834033, 0.048846988034710444, 0.159749918858163, 0.57181762909281, 0.5147767068622051, 315.5752824113616, 0.08773751888820822, 0.6571702076006104]",list index out of range
"[25.162304231541732, 0.04210862002139872, 0.160760308782278, 0.3203633013701894, 0.6463673764970829, 319.1325319265676, 0.6041027329283843, 0.9161567506306892]",list index out of range
"[44.980914386322624, 0.16933504574830058, 0.2873242759945878, 0.5097135433136224, 0.7246100053704003, 297.36907454576334, 0.8883943670332138, 0.6523400713940699]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[12.285915432237834, 0.04762089542889257, 0.5807507811642232, 0.11753832291521284, 0.8385546091907017, 296.0117929363511, 0.2873912571787024, 0.10912794822554667]",'HXutility' object has no attribute '_inlet_cost'
"[34.338060008145234, 0.45498526218466734, 0.5289481043718244, 0.31725757394155085, 0.1823752432852538, 281.4698172330497, 0.44274452548781956, 0.7899643786440714]",list index out of range
"[20.929769122681787, 0.41587069030799034, 0.057646573185992846, 0.4440558652910151, 0.3500419241346723, 312.64269341446993, 0.7084473207741901, 0.08517180876596656]",list index out of range
"[35.29276602142951, 0.658353348614414, 0.9143881280695954, 0.07601113270119493, 0.4502247378327485, 317.23621835530776, 0.8473934002717056, 0.6724390642098147]",list index out of range
"[44.6392664694996, 0.016759799956085803, 0.18676541975969946, 0.6913602020126695, 0.13344438481783436, 291.5843432901923, 0.5987790863879108, 0.7242678017784477]",list index out of range
"[11.002076846893058, 0.7876202410330592, 0.19204878700401015, 0.4858552870529856, 0.01567266131379721, 332.36724558980484, 0.23172752553405157, 0.995813451117134]",list index out of range
"[48.05213474604883, 0.3021335389179968, 0.04147257557245614, 0.5408099549681242, 0.3932766512763499, 281.10133616861395, 0.9081363402006046, 0.4674158434659281]",list index out of range
"[23.26456092607881, 0.034642803640185245, 0.6750191557376797, 0.8852645929128911, 0.6225479111459289, 282.2374259947606, 0.4484193919778436, 0.548977073773779]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[1.626342761245896, 0.5205888758617309, 0.6210770047452301, 0.17674395337650628, 0.4724964815877656, 292.42705393202795, 0.5312489755808888, 0.6204269087169648]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[36.6309403364632, 0.7909120224380112, 0.0351707631247266, 0.1718501689482921, 0.8424195456440653, 277.91238386446975, 0.18384618416843398, 0.4388715617697964]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[46.11533871005707, 0.5718650482046085, 0.05995506693345139, 0.8767800416081499, 0.7322681221847923, 282.5855012411007, 0.6163388148534711, 0.1791856583021172]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[26.27431146088325, 0.03708162169392806, 0.48729606496387085, 0.5033837472878485, 0.2656217877310174, 323.2684636293909, 0.2924437917520733, 0.6381527637035141]",list index out of range
"[2.532346255396753, 0.17029169195189267, 0.47743326304979306, 0.07973378967610342, 0.7393035932938918, 327.7503814820861, 0.7126664964765471, 0.5474652697568463]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[44.12557816034665, 0.08980073431412816, 0.9850349604477313, 0.58745091973088, 0.8516367295758367, 312.47685532684784, 0.5239947952937536, 0.18118977376498924]",'HXutility' object has no attribute '_inlet_cost'
"[49.93280347412887, 0.024056682476556925, 0.41930160243397996, 0.588851904863611, 0.27285986923604644, 318.19638479651127, 0.03662200665340268, 0.355798287545236]",list index out of range
"[40.81067856635909, 0.1949349880609063, 0.3184621199210136, 0.2794953395990235, 0.5982664426822343, 332.2034549572974, 0.30916192890509353, 0.27889097905370974]",'MixerSettler' object has no attribute '_inlet_cost'
"[40.239404131449916, 0.19457273507039755, 0.2021269285449948, 0.588383150081864, 0.1612719465801077, 311.15580858062316, 0.1153527254801273, 0.9630591938663907]",'MESHDistillation' object has no attribute '_inlet_cost'
"[49.64210647245714, 0.23706229173531118, 0.3359189558215878, 0.49935708112478094, 0.4505664020014314, 317.9449928209152, 0.23108119841841446, 0.5051698461360712]",'MESHDistillation' object has no attribute '_inlet_cost'
"[29.799856056765545, 0.5577601279842137, 0.09337878865540371, 0.9488522097267131, 0.5194559551113819, 275.88333190474214, 0.19013569603639424, 0.5037497164852199]",'HXutility' object has no attribute '_inlet_cost'
"[43.042493267352235, 0.8523373649364085, 0.19549064950051126, 0.3208220762864855, 0.20980515460097707, 305.84760777096517, 0.0918772809358844, 0.53562278104674]",list index out of range
"[4.269816080057982, 0.8993735311734719, 0.9720665611413356, 0.08500200251084895, 0.18420374280700139, 304.336090448975, 0.3722268508076983, 0.5836208445382304]",list index out of range
"[44.97881380715513, 0.7820309589668655, 0.5644882767747348, 0.4838104071388777, 0.13739369538389754, 342.1609633332223, 0.3988805172255365, 0.9646863289779063]",'HXutility' object has no attribute '_inlet_cost'
"[10.108005869736798, 0.5512141303514467, 0.9487110337426957, 0.4089120210383408, 0.8500364177764327, 330.1990948237954, 0.9638622121414251, 0.08468853097572002]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[25.734292300306166, 0.9216658414163397, 0.9024081974524244, 0.39143199869105316, 0.9944292605237933, 342.812780217114, 0.8646375036495993, 0.07671395293837913]",'MESHDistillation' object has no attribute '_inlet_cost'
"[5.859661687905999, 0.39267898191537426, 0.046365917684197074, 0.8632754914606795, 0.8066783457014222, 309.3875102201309, 0.24715770117608807, 0.724054449441919]",list index out of range
"[17.6182773663581, 0.34077614987625376, 0.2588764989185303, 0.041183705415984304, 0.45521711028723655, 330.9663767476296, 0.5923742804444354, 0.06117863615746451]",list index out of range
"[29.803094719770364, 0.6717740979070654, 0.38230160342800396, 0.5070834195429648, 0.10732501251280736, 340.0896343628138, 0.8521146346339586, 0.43623120765291373]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[10.226479052599773, 0.21211356586018718, 0.46296087536362635, 0.5162726929830308, 0.11813157281697406, 290.3020304529169, 0.20344195417002478, 0.14385868404771243]",'MixerSettler' object has no attribute '_inlet_cost'
"[12.019803120560073, 0.4158466906160884, 0.04741237341407225, 0.04364462609949222, 0.6831482466969774, 292.42833915614193, 0.9261504404527472, 0.900700753743255]",list index out of range
"[48.17920655724267, 0.4403202513925182, 0.289589230425835, 0.15428445994913878, 0.09909160152176, 347.4809012297701, 0.24015541422717193, 0.12325363667242578]",list index out of range
"[16.013496650815384, 0.8115878157348521, 0.32313978893497813, 0.23312965313055295, 0.07130611794856585, 324.66716354012357, 0.8921178586443406, 0.3635414151079013]",list index out of range
"[24.977402235805382, 0.03630265264699288, 0.290314133027343, 0.5445086199141248, 0.4420222717641821, 307.8351691159185, 0.8229595086062595, 0.08606659872234103]",list index out of range
"[4.916985703710114, 0.18971846677867393, 0.7902663245938315, 0.1581076798350748, 0.7862935668348806, 282.35762563946315, 0.2678730028678805, 0.007225450542055148]",list index out of range
"[24.598320114235676, 0.6091985376076905, 0.048201096606101654, 0.9058126324785905, 0.6968703824574453, 346.603805522489, 0.49653347684653754, 0.29940365736500835]",'HXutility' object has no attribute '_inlet_cost'
"[39.50751391853209, 0.10409780148010048, 0.8671609913971732, 0.24846480228610482, 0.8853754488693413, 302.2077676414594, 0.7958951331420392, 0.049012940975328115]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[17.506742730000084, 0.569636222802643, 0.9686515384638911, 0.5924309781867229, 0.022867019323619696, 277.0978360185261, 0.033354699218032545, 0.8773166349022498]",list index out of range
"[45.88685400653291, 0.12810690024233287, 0.14824427636668286, 0.3724923703997019, 0.2229809734836507, 289.83089972073697, 0.28449719418529595, 0.05212429110506294]",list index out of range
"[42.331986992312174, 0.136780911555043, 0.4557175728881498, 0.5533470980641216, 0.9839516070707316, 301.163751800416, 0.7918103302197708, 0.493483564055203]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[5.94246293788048, 0.14877713867577763, 0.08632531992688865, 0.9172216884388619, 0.5150352066944568, 341.53785338237986, 0.04160596471481344, 0.8070165325659828]",list index out of range
"[8.331057001425354, 0.0033903909059490056, 0.47076250538008746, 0.5536283943830405, 0.7335657396745948, 314.64216058988666, 0.16395809064313768, 0.42573654001140665]",list index out of range
"[6.8300855676953685, 0.4312019365196616, 0.5685560084677042, 0.1462088925617294, 0.18927538589715978, 322.4197606202998, 0.16332010007226605, 0.5836095865360598]",list index out of range
"[46.7027464724005, 0.6801047025826135, 0.109265947206613, 0.7724248504297866, 0.005791632579708173, 300.7708250733519, 0.7731384813600565, 0.17483710182214907]",list index out of range
"[15.52895982120245, 0.023528896175135924, 0.671034622279768, 0.4955550924678371, 0.4082915227663245, 323.5641784470055, 0.1180133489753089, 0.2864922026732279]",list index out of range
"[22.98807889736921, 0.6343525256877737, 0.3607941433201508, 0.09488571491380411, 0.4791950323085554, 296.6964604336133, 0.6244983887225115, 0.4291957817997148]",list index out of range
"[35.87015273105477, 0.4136239812919325, 0.08866578116353598, 0.1115669414026738, 0.2814073095079576, 349.1135377916551, 0.8680471846804142, 0.30846307095436165]",list index out of range
"[31.8714706978144, 0.547117913172185, 0.9007245431220433, 0.022025526321660844, 0.18142312982213926, 284.2109320548654, 0.7631613006404403, 0.4571655634237336]",list index out of range
"[44.87624625182581, 0.3315958749500098, 0.3257882138637392, 0.14136899782850434, 0.5790538465288089, 338.9729673518998, 0.009638897008146597, 0.6822540055092693]",'HXutility' object has no attribute '_inlet_cost'
"[41.259637091004564, 0.046408199791097, 0.05454633525221365, 0.21466810829327115, 0.5910338240180166, 301.0344225014882, 0.8778317431620891, 0.8903939458354959]",list index out of range
"[30.438111289641057, 0.3211847799614947, 0.8316512854641047, 0.19218624765896894, 0.9458864379080358, 311.58985488169907, 0.8105105212938398, 0.05853396270073718]",'MixerSettler' object has no attribute '_inlet_cost'
"[27.37220055431376, 0.6188281082812519, 0.0032995980902105287, 0.5049201962003406, 0.6758570613634577, 283.8600944302036, 0.09990943434387606, 0.0035718960340600948]",list index out of range
"[18.326985767005624, 0.6363564838989456, 0.6617527180232298, 0.27108886194475657, 0.07178521001863998, 290.0971311804998, 0.2862277278776081, 0.8401097740379309]",list index out of range
"[10.544046984501206, 0.0009417664629563549, 0.9189958723932188, 0.17412752452352603, 0.8140003594038455, 276.9620841444062, 0.5488732733814413, 0.06898932503106826]",list index out of range
"[39.66753487727424, 0.020718720669344628, 0.3897180388109067, 0.15810173087596002, 0.34672741931028433, 335.7218463463248, 0.7985813014845906, 0.6023778632813322]",list index out of range
"[20.608018107384773, 0.11277625523912545, 0.7128417248084448, 0.15031414060364842, 0.12185041534599157, 308.10277671779636, 0.41464915712102285, 0.4454981045254028]",list index out of range
"[14.241188098937336, 0.7129435438835486, 0.4041392059509953, 0.6095679796736874, 0.15588213242023227, 343.0895620817446, 0.06932461526927361, 0.9533524810348541]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[11.96497687915525, 0.157634111210558, 0.37166798049800437, 0.2051988193389839, 0.442241709187599, 346.3339679873105, 0.19503197346038284, 0.183294150786481]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[38.82762348512295, 0.30803900102289306, 0.296459500963574, 0.8862959033353272, 0.5120116509443888, 322.61845296679445, 0.7309940659391813, 0.3669073374588444]",'HXutility' object has no attribute '_inlet_cost'
"[9.693359967159791, 0.9060414708884509, 0.7321595360152208, 0.028806811391102277, 0.11498240505870452, 341.84014946133004, 0.8961829621297566, 0.19107504312012283]",list index out of range
"[28.74166715674966, 0.04594210254778023, 0.3477231183005014, 0.6027027721166713, 0.06597996833172814, 309.04504872879465, 0.3912692153825691, 0.7853019108966135]",list index out of range
"[17.983486535179697, 0.08564500572856673, 0.22699076240028765, 0.2382245701364645, 0.729987041031526, 328.28459905160116, 0.7803209620807757, 0.8425657336127809]",list index out of range
"[5.716630673032546, 0.0894355836493965, 0.36626954844145176, 0.7343144197185073, 0.7499768090104711, 282.97235839818165, 0.24546663026779375, 0.34587653993940376]",'HXutility' object has no attribute '_inlet_cost'
"[10.62754223366897, 0.16998408501317191, 0.09009234560589828, 0.24822944412169953, 0.3967993366576347, 308.6750427304226, 0.8598075790374161, 0.6288313298237412]",list index out of range
"[22.551977681586283, 0.05918332976907561, 0.30552375636642154, 0.7237792481964631, 0.7179868181395607, 322.32792095020403, 0.6963345485659733, 0.773345667922741]",list index out of range
"[49.205224877984705, 0.32737141169386286, 0.0670606416264213, 0.07866133507986389, 0.24461133189375875, 296.62231182146706, 0.9922295030245583, 0.2784316457210056]",list index out of range
"[33.00121085466914, 0.27328823617480136, 0.5104758491386338, 0.17810683519145123, 0.597587114133887, 325.27168543111213, 0.327753209263729, 0.6518106611789968]",'MixerSettler' object has no attribute '_inlet_cost'
"[1.1763042297108788, 0.4084596435100461, 0.2500705276170104, 0.046190457589679476, 0.8769106374028408, 284.1933904605695, 0.015468709772515946, 0.5176354736170999]",'MixerSettler' object has no attribute '_inlet_cost'
"[4.4174716465221735, 0.14634746639225324, 0.3722907368635912, 0.15134039081099598, 0.7128520294963537, 345.0994319097212, 0.8015549006260276, 0.21328423113513328]",'MixerSettler' object has no attribute '_inlet_cost'
"[25.474144030141247, 0.596020629731096, 0.07196162007474431, 0.49012423649065695, 0.5688391076621224, 337.32795433955425, 0.40544243771362515, 0.060737174695210165]",'MESHDistillation' object has no attribute '_inlet_cost'
"[8.559237139046502, 0.3646698668223485, 0.013739135344139874, 0.2563685065397128, 0.11153747843616897, 321.44729620612895, 0.26273511532418664, 0.2078296827101047]",list index out of range
"[47.15845579898106, 0.9521062582935708, 0.9613765207625667, 0.04711446126594638, 0.44563012218891157, 320.4766718780612, 0.8432594571687231, 0.006587625429237062]",list index out of range
"[10.480508019143954, 0.9826804152999846, 0.3449411966992045, 0.4371489831799151, 0.24840687001603887, 276.0681275821723, 0.7012965368193637, 0.7703954737857935]",'HXutility' object has no attribute '_inlet_cost'
"[34.262320073325746, 0.12351356749568491, 0.5686370616442141, 0.5017945304451996, 0.2815912689049378, 300.6524043797585, 0.9660971769782538, 0.7537928114491724]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[16.143096912698446, 0.559858035224864, 0.007072456836478171, 0.27903647288390976, 0.7348638436814569, 284.2559611295609, 0.2104714629532654, 0.6607389153781464]",list index out of range
"[44.115216202318706, 0.6533719054511712, 0.6700754173363321, 0.330369437047871, 0.38605738243153825, 336.95723954841736, 0.6462634247309731, 0.30025446883397505]",'HXutility' object has no attribute '_inlet_cost'
"[3.1202743764794327, 0.23787049606359173, 0.8532601868399897, 0.20778973442906815, 0.20902105024742956, 348.0394234157365, 0.13223919258000297, 0.6499952019763385]",list index out of range
"[47.8570923121288, 0.9211777886743672, 0.768940948472332, 0.20517156775995282, 0.24060712408826823, 304.49566483487126, 0.8419222002169561, 0.1836150350752876]",list index out of range
"[46.03763862857817, 0.1838850569601971, 0.8893291197114097, 0.6088966152912394, 0.6866983144251956, 344.1061875179721, 0.3677836446100624, 0.20734275121078163]",'MixerSettler' object has no attribute '_inlet_cost'
"[39.98858275034258, 0.5269410465596296, 0.12602414387300107, 0.1611922355475766, 0.009328927365295458, 276.5739251380921, 0.48154840706915825, 0.3742921547644071]",list index out of range
"[25.211997356333285, 0.0698991588680645, 0.12925766928153154, 0.7548336073652383, 0.6633894731887918, 317.2330387349794, 0.503150510229679, 0.3780077461225562]",list index out of range
"[6.802902010889029, 0.4447400003947778, 0.2803335905409544, 0.6540511499425259, 0.3676164402461116, 318.4207329694613, 0.9144006287445966, 0.3826392881732276]",'HXutility' object has no attribute '_inlet_cost'
"[16.760574176232662, 0.7829746593408963, 0.9222437726598575, 0.44047916243976487, 0.22334064830987363, 343.5836765942217, 0.018054823968643118, 0.9180020591729541]",'HXutility' object has no attribute '_inlet_cost'
"[8.892491562275254, 0.019591307571732094, 0.8662321270789956, 0.5383532881196503, 0.8256024472098241, 313.379122053013, 0.8073481360931399, 0.8792148357517671]",'HXutility' object has no attribute '_inlet_cost'
"[29.229494364694823, 0.3532381911881726, 0.28527572910222837, 0.4381985890444511, 0.3400787301427965, 277.3277268887244, 0.16022620227265416, 0.1746456551877882]",'MESHDistillation' object has no attribute '_inlet_cost'
"[29.896401509274206, 0.3133680548314832, 0.363381194567175, 0.6306480033400255, 0.019470485437516703, 320.24488194610626, 0.42563242906842375, 0.5808933430156364]",list index out of range
"[43.04889756461213, 0.05536081035283778, 0.9975801601162417, 0.5193975690973196, 0.2225615834616374, 341.555158116477, 0.7808813040467808, 0.756773090518904]",'HXutility' object has no attribute '_inlet_cost'
"[49.990157392714636, 0.18244775355490697, 0.4621167476474967, 0.0030574702510857915, 0.06600805518797809, 333.3520262614289, 0.6050111499167599, 0.4790264907676164]",list index out of range
"[15.214074174094607, 0.33410307169543996, 0.18337332482866184, 0.8357630848431712, 0.09497340086495124, 302.2471216006974, 0.1539340696073579, 0.2164247537391654]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[38.085748083193096, 0.7702899207682374, 0.2256493087042868, 0.313508626240838, 0.5149637486932146, 302.2023064744702, 0.5424739338557137, 0.01006798395702859]",list index out of range
"[46.63499330041343, 0.1345528173475774, 0.3059747874865757, 0.772166573803292, 0.9866158322848011, 326.63866054109087, 0.5681638733660068, 0.10384437688844189]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[2.76709862315011, 0.4436770122149103, 0.2795560367681616, 0.14425818082990124, 0.15421020375673328, 341.94913417686564, 0.10062881306981557, 0.3981431917961425]",list index out of range
"[9.165055574338675, 0.27313908372633605, 0.016318443374252638, 0.8599098305719646, 0.5967841378786335, 335.71893744347716, 0.9663302938057445, 0.23253641757231142]",list index out of range
"[12.416562668380188, 0.8807155834306781, 0.9219698648862209, 0.35202261155974973, 0.716727364527114, 302.8611633232333, 0.0527440404449029, 0.2750054464902593]",'MESHDistillation' object has no attribute '_inlet_cost'
"[31.25527459155378, 0.4659925195345307, 0.11590139214395359, 0.9519536792071019, 0.6904774296894649, 330.5329693790846, 0.07914686546024494, 0.04336265171281861]",list index out of range
"[35.842591920816076, 0.7378681904044203, 0.11658546261319196, 0.7542363620260445, 0.03497056923863558, 337.58260137497916, 0.6850928734623734, 0.5709174304126019]",'MESHDistillation' object has no attribute '_inlet_cost'
"[28.261643108039166, 0.23739777668517884, 0.29311803758958266, 0.8803749936003662, 0.5606447680328175, 317.288615874734, 0.03109189147828312, 0.38194961886175866]",'HXutility' object has no attribute '_inlet_cost'
"[42.96665218962368, 0.740017002022589, 0.9658898077793946, 0.2602245130459012, 0.2892277913295762, 297.65581163467203, 0.0514563282175663, 0.07352752994083636]",list index out of range
"[39.9029391722762, 0.9085940531707513, 0.8072653418812236, 0.1850879447277356, 0.391789398247207, 301.8152859620934, 0.3719850136756815, 0.5962647255631831]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[38.33602122444819, 0.13608049968793554, 0.47056951405841185, 0.5933602583245532, 0.5133952644337318, 290.2447747885106, 0.992812331012324, 0.3344394628306058]",'MESHDistillation' object has no attribute '_inlet_cost'
"[3.9943969593130033, 0.21032451468747435, 0.31739786336414916, 0.4302498132786109, 0.8031063317333357, 347.78643749430466, 0.6610630484117179, 0.8107452591825185]",'HXutility' object has no attribute '_inlet_cost'
"[3.65631014371012, 0.40377390485052744, 0.03189285166305551, 0.7508645166607945, 0.15136406603365973, 301.93636786846525, 0.1256034650225047, 0.578170458236952]",list index out of range
"[12.84628113810308, 0.19450452339232763, 0.29592946139419185, 0.46094466609704426, 0.7999936569708282, 302.769245360661, 0.2969881104920046, 0.2260886523082482]",'HXutility' object has no attribute '_inlet_cost'
"[13.657076407105446, 0.04316726352164447, 0.028237251775514647, 0.34154803059574684, 0.03971211321663455, 301.7163668292425, 0.37990692278391586, 0.44599553275248094]",list index out of range
"[18.69406640778059, 0.3077776528539079, 0.01102183474056186, 0.04992671947073966, 0.21326927210753344, 300.21837879931286, 0.21129595940783794, 0.34344953132098693]",list index out of range
"[31.23217743988446, 0.5444849488193533, 0.8371345572334873, 0.8674982600201587, 0.26123249262540593, 306.73433767627785, 0.36880141066671507, 0.775200798129598]",'MixerSettler' object has no attribute '_inlet_cost'
"[42.72665933137517, 0.25276480593409734, 0.09527891489203898, 0.8314232683420937, 0.4889501728222026, 344.4529547283272, 0.2890634149482707, 0.33515099449725366]",list index out of range
"[13.744904234144768, 0.4640754861140249, 0.776260284294855, 0.0416425645424387, 0.30671009886991435, 348.10813313309717, 0.7657915612148221, 0.12114063073689252]",list index out of range
"[40.4311402400152, 0.5063675803324972, 0.4553985153778282, 0.20234478565527456, 0.42954687765217736, 306.8922577637089, 0.9534636381994265, 0.23390408462343903]",'HXutility' object has no attribute '_inlet_cost'
"[2.368102059576211, 0.9580068355679698, 0.9567919794805888, 0.05997057226017351, 0.03796961927876813, 303.4901138710475, 0.4883617482484823, 0.6802449695635919]",list index out of range
"[24.379783767006778, 0.6003661392091308, 0.319147275794361, 0.037160427929894005, 0.44840851063519127, 345.42455493718415, 0.387276542071385, 0.7913020188101263]",list index out of range
"[39.11740981441018, 0.1400480479795577, 0.37890646622053975, 0.13738908287705248, 0.7740744068476587, 284.9788896522914, 0.03434252378375665, 0.45281809733569095]",'MESHDistillation' object has no attribute '_inlet_cost'
"[13.689551056756518, 0.038102089417769505, 0.6943428841649176, 0.7224368123138459, 0.6352168208597344, 339.0869702769205, 0.8320823065019419, 0.2237833697066684]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[40.88373102621758, 0.6280008637331731, 0.026654013664836235, 0.8744012417026765, 0.2674691277992157, 344.41937330718997, 0.6628979498316915, 0.7669784591921713]",list index out of range
"[24.493790531528767, 0.3591441134221849, 0.6466996838140023, 0.4316171786553208, 0.055924513951329045, 317.3319629987464, 0.6832947721939665, 0.9012488721378699]",list index out of range
"[9.415793742640778, 0.6440032871702924, 0.1703521408700772, 0.1248413947626081, 0.44376049430680864, 306.50839437129525, 0.10949981322401955, 0.26034450150326177]",list index out of range
"[32.12857864210531, 0.0671853030244989, 0.7896939307810836, 0.39310429451767137, 0.9042030749211697, 293.8869031912203, 0.864396894246724, 0.452436812058831]",'MixerSettler' object has no attribute '_inlet_cost'
"[28.544799792980555, 0.43068501911585544, 0.5578495053840352, 0.04668946556657454, 0.3329100369130706, 287.1334005219815, 0.8811958738558942, 0.23807021138012396]",list index out of range
"[42.36622806794966, 0.9627767601896423, 0.3489512842828597, 0.21374481984460902, 0.4142785292836423, 290.9046239452608, 0.7666139587763485, 0.8214146677567638]",'MESHDistillation' object has no attribute '_inlet_cost'
"[3.7256037715069423, 0.32409861939264717, 0.29544145869802657, 0.632785937430451, 0.5182304724614415, 337.5220575266054, 0.8062447805484666, 0.5018854171486491]",'HXutility' object has no attribute '_inlet_cost'
"[5.715006193763867, 0.43008864062105273, 0.47694863157243944, 0.7507582375531772, 0.8754838215287568, 277.0928306590393, 0.045232139761259935, 0.06618652829404628]",list index out of range
"[36.28568460893631, 0.934683151752942, 0.4461438886669533, 0.1456694086511385, 0.30269294966669263, 347.86202388074713, 0.7556015115695973, 0.1757783943506574]",list index out of range
"[39.638274163587546, 0.906271307025633, 0.04612381789811923, 0.7842930249070109, 0.5466396794074926, 279.30938229670744, 0.8564290957035985, 0.05316508672706111]",'MixerSettler' object has no attribute '_inlet_cost'
"[13.05063561873037, 0.944657876279804, 0.05811444019726189, 0.2525179436157095, 0.33824676341526755, 331.9417554057501, 0.3406282525873675, 0.17763246898443855]",'MixerSettler' object has no attribute '_inlet_cost'
"[2.505317467307577, 0.8940441784100712, 0.2061445529392984, 0.19585013112157987, 0.24099864741939953, 338.4765701022551, 0.4703713073304688, 0.9855589797446566]",list index out of range
"[47.33391518040489, 0.14694749095580445, 0.21056799990061975, 0.7971731833140068, 0.44434603872082284, 328.34066571228783, 0.608581536086287, 0.8967950932828522]",list index out of range
"[12.011604905893408, 0.651715842515826, 0.5569966161870477, 0.9401411131521957, 0.3520481393420346, 347.9986690836439, 0.5796219967280778, 0.7240113303706023]",list index out of range
"[43.04321572308991, 0.9873467283368784, 0.6870809395141267, 0.3352354357991044, 0.070419060189899, 307.86545240452983, 0.8207150695605626, 0.6887103679565628]",list index out of range
"[43.30239077687196, 0.3165558185141002, 0.08777648383756917, 0.9855189924101152, 0.7217377971821234, 288.83006205739684, 0.7684945291058, 0.5317803388070544]",list index out of range
"[46.54088306962421, 0.429811273850823, 0.8319656859740273, 0.6113953462824098, 0.1713124985169706, 314.4507740824853, 0.8876468418200818, 0.6109255896353639]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[40.80841485173169, 0.48087102580261, 0.13979416883810541, 0.40772512336053, 0.9025878385064533, 340.502238299202, 0.5524683908611192, 0.10292710211526639]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[37.51836304230094, 0.3588335373402305, 0.5193061104539112, 0.10974130524591372, 0.6327036180646674, 344.6514609312521, 0.8603142775421491, 0.39410335767910953]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[2.522770825652957, 0.11767379051268062, 0.09964025701209342, 0.5939484665784144, 0.34883136485005, 341.828548971318, 0.80748085002411, 0.15631726444307995]",list index out of range
"[46.94615287946638, 0.9622283935703775, 0.06660598276015059, 0.8949410237367859, 0.17524098394196078, 325.812465184187, 0.094747454286724, 0.12457835325217077]",'MESHDistillation' object has no attribute '_inlet_cost'
"[20.7570033600586, 0.00953890137412757, 0.16107340591318595, 0.3755167599668196, 0.058792754988975, 281.9551844608962, 0.7815818427189126, 0.5193816068616792]",list index out of range
"[40.82264726922008, 0.8600615998356526, 0.8931749513930559, 0.36641354939850657, 0.5274354801421496, 339.62330284623874, 0.6391253944116582, 0.035342898356741544]",'MESHDistillation' object has no attribute '_inlet_cost'
"[33.2884456251081, 0.015601206608397198, 0.001831546545007275, 0.3742328341042494, 0.005903335295624701, 304.0996450719995, 0.6332161339868719, 0.04291985631444963]",list index out of range
"[43.48361947303092, 0.5448562132122367, 0.9043589003974252, 0.8080561114532542, 0.21476917149123564, 288.6266915714384, 0.9630725737666634, 0.16338905655267733]",'MixerSettler' object has no attribute '_inlet_cost'
"[3.1611213104412332, 0.115499068329346, 0.6781510400213483, 0.4059795844497989, 0.563754759825927, 336.65616891859, 0.3207392352696658, 0.4175026005326921]",'MixerSettler' object has no attribute '_inlet_cost'
"[30.75146805813283, 0.9655909879187272, 0.7214866568202076, 0.13914066112596502, 0.23895012703121343, 329.4734238345098, 0.3799171081881556, 0.8466396789243514]",list index out of range
"[9.939919762982015, 0.17238596877876264, 0.553800543368752, 0.7217240437628398, 0.7980996489898311, 335.20389203912583, 0.2642618490276167, 0.7627024939581271]",'HXutility' object has no attribute '_inlet_cost'
"[19.957140231863878, 0.2704347376061282, 0.4554323860941213, 0.5753771944479915, 0.4894097016053731, 325.1954802641931, 0.5894117053282426, 0.22521379656060028]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[30.138673692055225, 0.04495948613410747, 0.6780754112200359, 0.5614345706928996, 0.6195471405311348, 315.75762088439126, 0.15833743986227306, 0.8859304661354938]",'ShortcutColumn' object has no attribute '_inlet_cost'
