0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10.0,0.95,0.95,0.95,0.95,300.0,0.9999,0.95,2.5601,0.7795,0.6974537739740994,2.8711531969521604,0.013806706114398423,22,17,4.599493980407715,3.4224,0.8362,0.8501901189417846,16.92649483680725
10.0,0.95,0.95,0.95,0.95,350.0,0.97495,0.9999,1.4485,0.873,0.7372712147129206,4.809073772921802,0.2672225447738064,10,8,4.847726106643677,1.481,0.9362,0.9396333989151252,34.737656116485596
10.0,0.95,0.95,0.95,0.95,325.0,0.9999,0.97495,2.3886,0.6506,0.713874049196922,3.1664424433708924,0.01380670611439842,22,17,4.480331659317017,2.3961,0.6441,0.8685477735121755,38.69326329231262
10.0,0.95,0.95,0.95,0.95,325.0,0.9999,0.95,2.5664,0.684,0.7163340858902979,3.1718691607882117,0.013806706114398418,22,17,4.398206949234009,3.5395,0.6673,0.8664835153712839,38.83347177505493
10.0,0.95,0.95,0.95,0.95,350.0,0.97495,0.97495,1.3558,0.7404,0.7360392119925887,4.820087013602339,0.26707146654800124,10,8,4.421849489212036,3.5445,0.7694,0.9383213887433877,49.551416873931885
10.0,0.95,0.95,0.95,0.9999,325.0,0.95,0.9999,2.0893,0.769,0.718934671475004,3.1520777403228073,0.01380670611439842,22,17,0.422696590423584,7.7151,0.7698,0.6218371657405856,28.235888481140137
10.0,0.95,0.95,0.95,0.95,325.0,0.97495,0.95,2.1148,0.6808,0.7177638049110778,3.17465211774243,0.013806706114398423,22,17,4.624244928359985,2.6787,0.6641,0.8652719614564512,65.19854497909546
10.0,0.95,0.95,0.95,0.97495,325.0,0.95,0.95,2.0454,0.6806,0.7157214949855191,3.167325090318263,0.013806706114398421,22,17,4.531744003295898,1.7493,0.6613,0.8778679091371928,75.46321773529053
10.0,0.95,0.95,0.95,0.97495,350.0,0.97495,0.9999,1.4558,0.8766,0.7392247801663661,4.798338418779595,0.26744546631711447,10,8,4.22929835319519,1.5395,0.94,0.945039594918462,79.19012784957886
10.0,0.95,0.95,0.95,0.95,350.0,0.97495,0.95,1.6529,0.7621,0.7393303125764438,4.831313092928074,0.266838533386379,10,8,4.725165605545044,1.7303,0.767,0.935115981093947,91.52415418624878
10.0,0.95,0.95,0.95,0.97495,325.0,0.95,0.9999,1.8837,0.7651,0.7166522617328874,3.1587437833670386,0.013806706114398421,22,17,4.4007344245910645,1.7305,0.7622,0.8761080760573455,102.69265556335449
10.0,0.95,0.95,0.95,0.9999,325.0,0.97495,0.97495,2.3713,0.6553,0.7192818427112262,3.1543681798190617,0.01380670611439842,22,17,0.34694790840148926,3.4557,0.6441,0.6215052989588207,71.58344793319702
10.0,0.95,0.95,0.95,0.9999,325.0,0.95,0.95,2.252,0.6858,0.7227900697839422,3.161701670555729,0.013806706114398421,22,17,4.991067886352539,3.4068,0.6636,0.6201498138091329,111.9854805469513
10.0,0.95,0.95,0.95,0.9999,300.0,0.95,0.97495,2.2941,0.7444,0.7012472520397139,2.8583350897577384,0.013806706114398416,22,17,4.6155359745025635,2.0514,0.7999,0.603792623443802,116.16154885292053
10.0,0.95,0.95,0.95,0.9999,325.0,0.97495,0.9999,2.1077,0.7767,0.7189618451448011,3.152526290324159,0.013806706114398423,22,17,0.31204700469970703,3.308,0.778,0.6218928815112819,66.4796085357666
10.0,0.95,0.95,0.95,0.9999,300.0,0.9999,0.95,2.7733,0.788,0.7027520826403367,2.8610114427818365,0.013806706114398421,22,17,4.1851418018341064,2.6848,0.8435,0.6028695158345968,117.93074250221252
10.0,0.95,0.95,0.95,0.9999,300.0,0.97495,0.95,2.3217,0.7845,0.7042168699594514,2.8635737229426255,0.013806706114398423,22,17,4.2185468673706055,5.5173,0.84,0.6024417045181596,120.26307916641235
10.0,0.95,0.95,0.95,0.97495,325.0,0.95,0.97495,2.0867,0.6479,0.7170609472392347,3.160839271821825,0.01380670611439842,22,17,4.290929794311523,1.4779,0.6324,0.8755942760483584,120.83547759056091
10.0,0.95,0.95,0.95,0.95,300.0,0.9999,0.97495,2.8696,0.7429,0.6951683797724764,2.8670662346406033,0.013806706114398418,22,17,4.552769899368286,2.6031,0.8016,0.853835398403962,130.4219994544983
10.0,0.95,0.95,0.95,0.97495,325.0,0.97495,0.9999,1.9021,0.7728,0.7166797436107579,3.1591948385587645,0.013806706114398423,22,17,4.319658994674683,1.6178,0.7702,0.876019628060835,143.57303285598755
