run_ix,iter,cumulative_cost
0,1,0.1
0,2,0.2
0,3,0.30000000000000004
0,4,0.4
0,5,0.5
0,6,0.6
0,7,0.7
0,8,1.7
0,9,1.8
0,10,1.9000000000000001
0,11,2.0
