Params,Error
"[44, 0.18267517857183813, 0.21969781889283144, 0.3670281157750505, 0.2747484948515432, 316.471503981571, 0.6362835635754234, 0.16686161745711625]",'HXutility' object has no attribute '_inlet_cost'
Params,Error
"[12, 0.14157421124829825, 0.419138314674348, 0.8225017513507228, 0.59622950529424, 288.3882638529736, 0.3133188764990661, 0.9634977940762389]",'MESHDistillation' object has no attribute '_inlet_cost'
Params,Error
"[41, 0.10301135260708838, 0.7211623340597623, 0.39425641029127134, 0.22471714753330468, 322.47280359202426, 0.3960612361943558, 0.7332734231118956]",'MESHDistillation' object has no attribute '_inlet_cost'
"[34, 0.25326235897893806, 0.47557575552652376, 0.7782697349937306, 0.8910457039086906, 274.0441333878842, 0.26250281511500767, 0.7694198603143183]",'HXutility' object has no attribute '_inlet_cost'
"[18, 0.11462325764617838, 0.47526602274061736, 0.4022225857401339, 0.5210234901154024, 336.6512410778944, 0.1914056849215931, 0.5552042692816873]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[18, 0.6625121022471864, 0.05380805577345019, 0.6442000654904695, 0.5305930982691984, 284.71700514753974, 0.5825960080576431, 0.8507289446066393]",'HXutility' object has no attribute '_inlet_cost'
"[21, 0.3104117168854574, 0.24826107905851724, 0.7014706682292795, 0.0527958794720521, 283.5572561085512, 0.505028873509424, 0.2804615047800372]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[28, 0.17258726987768025, 0.30405162185241, 0.5026120687588217, 0.7461366383377694, 299.0908150311342, 0.29084158659938125, 0.8645336099563908]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[18, 0.24028642976865458, 0.3851257267913844, 0.7999895917388059, 0.1543781129849215, 342.66027452112434, 0.4012959945827446, 0.31080804808744034]",'MESHDistillation' object has no attribute '_inlet_cost'
"[44, 0.41008107626361034, 0.8512104027647415, 0.5560376347887445, 0.4148604430210203, 332.74093201023396, 0.08954500720219653, 0.8085428654533451]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[24, 0.5186604382356524, 0.07525085368493954, 0.32780325025759727, 0.9261830038820595, 273.0306196006473, 0.3533917235127865, 0.4913065617440329]",'HXutility' object has no attribute '_inlet_cost'
"[33, 0.3113533978312584, 0.2802370265491948, 0.2508975164824484, 0.9813907135919746, 302.03756149198057, 0.25510744741371655, 0.4669046769495808]",'HXutility' object has no attribute '_inlet_cost'
"[39, 0.013935840350708545, 0.8598890885306001, 0.7422123950910016, 0.4958396911333669, 276.13626770120436, 0.9072435452641012, 0.19156734007070914]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[17, 0.38143312670500373, 0.30942718948491316, 0.6265098600032517, 0.16711566938459452, 286.9457510421129, 0.6271480730411053, 0.632799821688053]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[38, 0.8930073662111653, 0.3142350429605876, 0.24537630493067916, 0.7854727437996173, 284.7622605848656, 0.5235664708303563, 0.048500788851572]",'HXutility' object has no attribute '_inlet_cost'
"[42, 0.35479552440490586, 0.27330562354861915, 0.1453955754554706, 0.6316995494684146, 321.3187319046563, 0.398064874260609, 0.36497502922141367]",'HXutility' object has no attribute '_inlet_cost'
"[17, 0.38664331689323994, 0.12984426025892176, 0.11180776860868988, 0.7938746690893473, 329.63087121894756, 0.509127429385158, 0.04045729397324971]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[49, 0.3722280791769346, 0.39113936492341306, 0.8305091861763051, 0.2814393580952119, 330.35602230829045, 0.29104666696653364, 0.09404260645869478]",'HXutility' object has no attribute '_inlet_cost'
"[37, 0.9083338453344361, 0.6802585327973047, 0.9833085803093683, 0.02159402116391213, 301.6367284612019, 0.8742502505408689, 0.06911234901349246]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[46, 0.1662232712641412, 0.2631553825804003, 0.25738404835765377, 0.4215706735555317, 326.6366418101451, 0.5593427351742224, 0.7385120081461912]",'MESHDistillation' object has no attribute '_inlet_cost'
"[35, 0.8469860611694293, 0.3900541291095219, 0.4836576319149217, 0.22684834687485977, 316.22853524427995, 0.2768242086636859, 0.2902719126420518]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[37, 0.3443996689800113, 0.25044366614619135, 0.7068101285311663, 0.404512391358809, 346.88434829811285, 0.8468450914957034, 0.9119799104583938]",'HXutility' object has no attribute '_inlet_cost'
"[45, 0.2675348101552104, 0.4460593965505223, 0.530339635268748, 0.31376012582037255, 281.39174206751744, 0.8030261034286484, 0.512145299226064]",'ShortcutColumn' object has no attribute '_inlet_cost'
