run,total_cost,best_so_far,iterations,use_hyperparameter_bo
1,30.000000000000064,1.5249,128,True
2,18.099999999999994,1.5249,72,True
3,11.299999999999992,1.5249,40,True
4,48.70000000000017,1.5249,216,True
5,23.200000000000024,1.5249,96,True
6,11.299999999999992,1.5249,40,True
7,35.100000000000094,1.5249,152,True
8,16.399999999999984,1.5249,64,True
9,23.200000000000024,1.5249,96,True
10,38.500000000000114,1.5249,168,True
