iteration,data_points,pretrain_params,finetune_params,pretrain_trials,finetune_trials,run
1,10,"{'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.008102356207766656, 'epochs': 163}","{'learning_rate': 0.0034504622034843622, 'epochs': 199}","[{'hidden_layers': 2, 'hidden_dim': 16, 'learning_rate': 2.9375384576328295e-05, 'epochs': 58, 'validation_loss': 10.09176254272461}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.00314288089084011, 'epochs': 82, 'validation_loss': 2.7310004234313965}, {'hidden_layers': 1, 'hidden_dim': 64, 'learning_rate': 7.476312062252303e-05, 'epochs': 142, 'validation_loss': 6.084694862365723}, {'hidden_layers': 1, 'hidden_dim': 128, 'learning_rate': 3.972110727381908e-05, 'epochs': 127, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.007025166339242158, 'epochs': 195, 'validation_loss': 1.2553749084472656}, {'hidden_layers': 3, 'hidden_dim': 64, 'learning_rate': 2.32335035153901e-05, 'epochs': 124, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 16, 'learning_rate': 0.00036324869566766035, 'epochs': 132, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 16, 'learning_rate': 0.0006218704727769079, 'epochs': 189, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 128, 'learning_rate': 6.516990611177177e-05, 'epochs': 175, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 128, 'learning_rate': 1.6736010167825783e-05, 'epochs': 199, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.008102356207766656, 'epochs': 163, 'validation_loss': 0.12314427644014359}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.0091475824284567, 'epochs': 170, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.001975014540687428, 'epochs': 162, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 32, 'learning_rate': 0.00959402062049049, 'epochs': 158, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.0017224539601459613, 'epochs': 97, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.0038514058782902734, 'epochs': 185, 'validation_loss': 0.13324059545993805}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.0007871969024516136, 'epochs': 149, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 32, 'learning_rate': 0.0037681109187121236, 'epochs': 182, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 32, 'learning_rate': 0.00015953938333467617, 'epochs': 101, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.0010389565559181823, 'epochs': 176, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.003619139484491943, 'epochs': 151, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.006031295094799168, 'epochs': 196, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.00606825943303397, 'epochs': 192, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.001311645299105619, 'epochs': 167, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.004915718853778002, 'epochs': 184, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.00264101914385492, 'epochs': 183, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 32, 'learning_rate': 0.008822375665927607, 'epochs': 159, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 64, 'learning_rate': 0.0003353337984291149, 'epochs': 200, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 16, 'learning_rate': 0.0023441971225628723, 'epochs': 139, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 16, 'learning_rate': 0.005090650891240287, 'epochs': 63, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.0005267280641727745, 'epochs': 110, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.00320974828340317, 'epochs': 73, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.006513976049809919, 'epochs': 50, 'validation_loss': 2.7235193252563477}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.005852677202541519, 'epochs': 84, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 128, 'learning_rate': 0.0001941780371435156, 'epochs': 50, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.0074714082445667355, 'epochs': 114, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 64, 'learning_rate': 0.004091994808100498, 'epochs': 176, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.0014837714365929365, 'epochs': 189, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 16, 'learning_rate': 0.0025563535046085363, 'epochs': 140, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 128, 'learning_rate': 0.007897912044103837, 'epochs': 121, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.0010187216977852575, 'epochs': 132, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.004312824617798936, 'epochs': 68, 'validation_loss': 2.3909974098205566}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.0044334190920986795, 'epochs': 66, 'validation_loss': 2.3797292709350586}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.003705261504291082, 'epochs': 88, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.002142285616638209, 'epochs': 70, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 1.1560548765946243e-05, 'epochs': 62, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.004322997940600256, 'epochs': 77, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.00954309152946567, 'epochs': 151, 'validation_loss': 0.3495156168937683}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.0029645501388313182, 'epochs': 171, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.009529893858191748, 'epochs': 150, 'validation_loss': inf}]","[{'learning_rate': 0.0001329291894316216, 'epochs': 193, 'validation_loss': 12.025449752807617}, {'learning_rate': 0.001570297088405539, 'epochs': 140, 'validation_loss': 6.662177838734351e-06}, {'learning_rate': 2.9380279387035334e-05, 'epochs': 73, 'validation_loss': 22.615009307861328}, {'learning_rate': 1.493656855461762e-05, 'epochs': 180, 'validation_loss': inf}, {'learning_rate': 0.0006358358856676254, 'epochs': 156, 'validation_loss': 6.983501407376025e-06}, {'learning_rate': 1.1527987128232396e-05, 'epochs': 196, 'validation_loss': inf}, {'learning_rate': 0.00314288089084011, 'epochs': 82, 'validation_loss': 0.004632217809557915}, {'learning_rate': 3.511356313970405e-05, 'epochs': 77, 'validation_loss': inf}, {'learning_rate': 8.17949947521167e-05, 'epochs': 129, 'validation_loss': inf}, {'learning_rate': 0.00019762189340280086, 'epochs': 93, 'validation_loss': inf}, {'learning_rate': 0.008144708785796128, 'epochs': 121, 'validation_loss': 4.097359487786889e-05}, {'learning_rate': 0.0012053146877684853, 'epochs': 155, 'validation_loss': inf}, {'learning_rate': 0.0008322724281704743, 'epochs': 154, 'validation_loss': inf}, {'learning_rate': 0.0007156923123551337, 'epochs': 147, 'validation_loss': inf}, {'learning_rate': 0.002243307784788718, 'epochs': 107, 'validation_loss': 0.00044545336277224123}, {'learning_rate': 0.0005053142487841675, 'epochs': 167, 'validation_loss': inf}, {'learning_rate': 0.005029789600356756, 'epochs': 131, 'validation_loss': inf}, {'learning_rate': 0.0002790544734622927, 'epochs': 171, 'validation_loss': inf}, {'learning_rate': 0.0015560685984612518, 'epochs': 139, 'validation_loss': inf}, {'learning_rate': 0.00044158932787169495, 'epochs': 109, 'validation_loss': inf}, {'learning_rate': 0.0032087765047808733, 'epochs': 53, 'validation_loss': 0.023906070739030838}, {'learning_rate': 0.009319788810362677, 'epochs': 116, 'validation_loss': 9.464238246437162e-05}, {'learning_rate': 0.00941329161868527, 'epochs': 121, 'validation_loss': 2.6547897959972033e-06}, {'learning_rate': 0.00141234915655654, 'epochs': 145, 'validation_loss': inf}, {'learning_rate': 0.005901882170109798, 'epochs': 96, 'validation_loss': 0.0005934183718636632}, {'learning_rate': 0.0035947146910111456, 'epochs': 164, 'validation_loss': 5.371405222831527e-07}, {'learning_rate': 0.0037780856749477965, 'epochs': 175, 'validation_loss': inf}, {'learning_rate': 0.0023510541818118945, 'epochs': 183, 'validation_loss': inf}, {'learning_rate': 0.005434729141668181, 'epochs': 137, 'validation_loss': 9.25220774661284e-06}, {'learning_rate': 0.009728869722534051, 'epochs': 163, 'validation_loss': inf}, {'learning_rate': 0.002027009641005623, 'epochs': 185, 'validation_loss': inf}, {'learning_rate': 0.0007857837729454456, 'epochs': 156, 'validation_loss': inf}, {'learning_rate': 0.0011027052374036443, 'epochs': 146, 'validation_loss': inf}, {'learning_rate': 0.004069038446487255, 'epochs': 162, 'validation_loss': 2.3102620616555214e-07}, {'learning_rate': 0.004351304330457349, 'epochs': 190, 'validation_loss': 7.207040653156582e-08}, {'learning_rate': 0.004848163543459437, 'epochs': 197, 'validation_loss': inf}, {'learning_rate': 0.006722174387655406, 'epochs': 189, 'validation_loss': inf}, {'learning_rate': 0.002975650577917052, 'epochs': 174, 'validation_loss': inf}, {'learning_rate': 0.004085829441506238, 'epochs': 200, 'validation_loss': 1.0510348147363402e-08}, {'learning_rate': 0.0034504622034843622, 'epochs': 199, 'validation_loss': 7.4489889811957255e-09}, {'learning_rate': 8.552011163103817e-05, 'epochs': 199, 'validation_loss': inf}, {'learning_rate': 0.003917791451943314, 'epochs': 191, 'validation_loss': inf}, {'learning_rate': 0.0020641918101694514, 'epochs': 178, 'validation_loss': inf}, {'learning_rate': 0.004078812591162995, 'epochs': 192, 'validation_loss': inf}, {'learning_rate': 0.00276141197369453, 'epochs': 163, 'validation_loss': inf}, {'learning_rate': 0.006682285809278553, 'epochs': 200, 'validation_loss': inf}, {'learning_rate': 0.0017464247706731235, 'epochs': 184, 'validation_loss': inf}, {'learning_rate': 0.0012344453514394119, 'epochs': 186, 'validation_loss': inf}, {'learning_rate': 2.2610606378634857e-05, 'epochs': 169, 'validation_loss': inf}, {'learning_rate': 0.004471183237683923, 'epochs': 179, 'validation_loss': inf}]",1
11,20,"{'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.008345431733325833, 'epochs': 114}","{'learning_rate': 0.0038043514329319386, 'epochs': 186}","[{'hidden_layers': 2, 'hidden_dim': 16, 'learning_rate': 2.9375384576328295e-05, 'epochs': 58, 'validation_loss': 2.793418142872053}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.00314288089084011, 'epochs': 82, 'validation_loss': 0.4925930385444305}, {'hidden_layers': 1, 'hidden_dim': 64, 'learning_rate': 7.476312062252303e-05, 'epochs': 142, 'validation_loss': 5.354458602609571}, {'hidden_layers': 1, 'hidden_dim': 128, 'learning_rate': 3.972110727381908e-05, 'epochs': 127, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.007025166339242158, 'epochs': 195, 'validation_loss': 0.19763719701553314}, {'hidden_layers': 3, 'hidden_dim': 64, 'learning_rate': 2.32335035153901e-05, 'epochs': 124, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 16, 'learning_rate': 0.00036324869566766035, 'epochs': 132, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 16, 'learning_rate': 0.0006218704727769079, 'epochs': 189, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 128, 'learning_rate': 6.516990611177177e-05, 'epochs': 175, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 128, 'learning_rate': 1.6736010167825783e-05, 'epochs': 199, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.008102356207766656, 'epochs': 163, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 32, 'learning_rate': 0.009089905392454614, 'epochs': 83, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 32, 'learning_rate': 0.002064450235177133, 'epochs': 95, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 32, 'learning_rate': 0.0025461232235851378, 'epochs': 98, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 128, 'learning_rate': 0.0018259691968500248, 'epochs': 57, 'validation_loss': 1.3133006626771628}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.003664242908301272, 'epochs': 153, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.0006003315427919745, 'epochs': 113, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.004619301997345053, 'epochs': 76, 'validation_loss': 0.561533411712418}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.0010279424475923545, 'epochs': 105, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.00023914500028567772, 'epochs': 78, 'validation_loss': inf}, {'hidden_layers': 3, 'hidden_dim': 128, 'learning_rate': 0.0001760434411056527, 'epochs': 169, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.004911589702404672, 'epochs': 73, 'validation_loss': 0.29213841113819433}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.0048201974129845, 'epochs': 69, 'validation_loss': 0.3868648435406056}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.005833938093272144, 'epochs': 67, 'validation_loss': 0.5282400730750468}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.0012293260514717984, 'epochs': 53, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.006525251690877843, 'epochs': 91, 'validation_loss': 0.3414259457613114}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.008822375665927607, 'epochs': 90, 'validation_loss': 0.29350314767496927}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.009976226117714468, 'epochs': 115, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.0014321382249502881, 'epochs': 149, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 16, 'learning_rate': 0.002859371039753239, 'epochs': 64, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.00495330191993425, 'epochs': 105, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.007915203305785327, 'epochs': 90, 'validation_loss': 0.25580923173746883}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.0033134456831850575, 'epochs': 91, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.009952009753100947, 'epochs': 85, 'validation_loss': 0.45066734485408755}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.006405894639172759, 'epochs': 50, 'validation_loss': 0.8765733967507672}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.003696777435527791, 'epochs': 137, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 32, 'learning_rate': 0.006445172537288369, 'epochs': 120, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 16, 'learning_rate': 0.0009369481595704148, 'epochs': 74, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 64, 'learning_rate': 0.0001254865151802083, 'epochs': 100, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.0021993770832253253, 'epochs': 182, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 16, 'learning_rate': 0.0007582298989223784, 'epochs': 61, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.006818625721939831, 'epochs': 89, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.0044334190920986795, 'epochs': 105, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.007383541962189452, 'epochs': 200, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.0016235639597261058, 'epochs': 84, 'validation_loss': inf}, {'hidden_layers': 1, 'hidden_dim': 64, 'learning_rate': 1.1560548765946243e-05, 'epochs': 73, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 32, 'learning_rate': 0.0026706115785381152, 'epochs': 128, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 3.99796253947425e-05, 'epochs': 93, 'validation_loss': inf}, {'hidden_layers': 2, 'hidden_dim': 64, 'learning_rate': 0.008345431733325833, 'epochs': 114, 'validation_loss': 0.18426600865596396}, {'hidden_layers': 3, 'hidden_dim': 32, 'learning_rate': 0.008486594789326667, 'epochs': 113, 'validation_loss': 0.19232931065668865}]","[{'learning_rate': 0.0001329291894316216, 'epochs': 193, 'validation_loss': 1.0822691917419434}, {'learning_rate': 0.001570297088405539, 'epochs': 140, 'validation_loss': 3.83920269086957e-06}, {'learning_rate': 2.9380279387035334e-05, 'epochs': 73, 'validation_loss': 11.75635051727295}, {'learning_rate': 1.493656855461762e-05, 'epochs': 180, 'validation_loss': inf}, {'learning_rate': 0.0006358358856676254, 'epochs': 156, 'validation_loss': 3.2916825148276985e-05}, {'learning_rate': 1.1527987128232396e-05, 'epochs': 196, 'validation_loss': inf}, {'learning_rate': 0.00314288089084011, 'epochs': 82, 'validation_loss': 0.00057121244026348}, {'learning_rate': 3.511356313970405e-05, 'epochs': 77, 'validation_loss': inf}, {'learning_rate': 8.17949947521167e-05, 'epochs': 129, 'validation_loss': inf}, {'learning_rate': 0.00019762189340280086, 'epochs': 93, 'validation_loss': inf}, {'learning_rate': 0.008144708785796128, 'epochs': 121, 'validation_loss': 1.169485130958492e-07}, {'learning_rate': 0.008102356207766656, 'epochs': 127, 'validation_loss': 6.945422228454845e-06}, {'learning_rate': 0.001125394166429698, 'epochs': 151, 'validation_loss': inf}, {'learning_rate': 0.009149586241265847, 'epochs': 109, 'validation_loss': 4.639988037524745e-05}, {'learning_rate': 0.002243307784788718, 'epochs': 51, 'validation_loss': 0.031070927157998085}, {'learning_rate': 0.003188274668249157, 'epochs': 155, 'validation_loss': inf}, {'learning_rate': 0.0006047610780978087, 'epochs': 109, 'validation_loss': inf}, {'learning_rate': 0.0016528503040936981, 'epochs': 143, 'validation_loss': inf}, {'learning_rate': 0.004944625739854395, 'epochs': 108, 'validation_loss': inf}, {'learning_rate': 0.0007237571390343185, 'epochs': 170, 'validation_loss': inf}, {'learning_rate': 0.005276375876067349, 'epochs': 141, 'validation_loss': inf}, {'learning_rate': 0.009828768653347109, 'epochs': 125, 'validation_loss': 7.517633093812037e-08}, {'learning_rate': 0.009546936680019115, 'epochs': 121, 'validation_loss': inf}, {'learning_rate': 0.004513297105797168, 'epochs': 137, 'validation_loss': inf}, {'learning_rate': 0.0015515448049423849, 'epochs': 118, 'validation_loss': inf}, {'learning_rate': 0.002849356463734086, 'epochs': 168, 'validation_loss': inf}, {'learning_rate': 0.00030952090692393534, 'epochs': 93, 'validation_loss': inf}, {'learning_rate': 0.005524180294993799, 'epochs': 96, 'validation_loss': 2.42128771787975e-06}, {'learning_rate': 0.006838009474800956, 'epochs': 95, 'validation_loss': 2.171532571537682e-07}, {'learning_rate': 0.006475269373510346, 'epochs': 56, 'validation_loss': 9.585222869645804e-06}, {'learning_rate': 0.00993194129879723, 'epochs': 103, 'validation_loss': 8.227091893786564e-05}, {'learning_rate': 0.00434343350251876, 'epochs': 94, 'validation_loss': inf}, {'learning_rate': 0.0061819942748186614, 'epochs': 68, 'validation_loss': inf}, {'learning_rate': 0.0022902538153590935, 'epochs': 86, 'validation_loss': inf}, {'learning_rate': 0.0035998902496644286, 'epochs': 117, 'validation_loss': inf}, {'learning_rate': 0.006742941568417286, 'epochs': 100, 'validation_loss': inf}, {'learning_rate': 0.0010271536832435141, 'epochs': 133, 'validation_loss': inf}, {'learning_rate': 0.0018048107183191802, 'epochs': 68, 'validation_loss': inf}, {'learning_rate': 8.492935741365942e-05, 'epochs': 117, 'validation_loss': inf}, {'learning_rate': 0.0065749488020478575, 'epochs': 83, 'validation_loss': inf}, {'learning_rate': 0.0036280012125081067, 'epochs': 100, 'validation_loss': inf}, {'learning_rate': 0.0025919070965078695, 'epochs': 145, 'validation_loss': inf}, {'learning_rate': 0.005099254079166099, 'epochs': 125, 'validation_loss': inf}, {'learning_rate': 2.359097028101454e-05, 'epochs': 164, 'validation_loss': inf}, {'learning_rate': 0.00754524150242095, 'epochs': 134, 'validation_loss': 5.790238901681732e-06}, {'learning_rate': 0.009965161337011466, 'epochs': 111, 'validation_loss': 5.725925120714237e-07}, {'learning_rate': 0.009885661756388225, 'epochs': 110, 'validation_loss': inf}, {'learning_rate': 0.0038043514329319386, 'epochs': 186, 'validation_loss': 4.64974903024995e-08}, {'learning_rate': 0.0038719736440907806, 'epochs': 186, 'validation_loss': inf}, {'learning_rate': 0.007495638219460808, 'epochs': 150, 'validation_loss': inf}]",1
